TIMESTAMP, READING, VALUE
2020-08-25 13:30:00,PX_GENERATOR_1_FUEL_LEVEL,381.2700
2020-08-25 14:00:00,PX_GENERATOR_POWER,0.0000
2020-08-25 14:00:00,PX_RECTIFIER_LOAD,2.6486
2020-08-25 14:00:00,PX_GENERATOR_1_FUEL_LEVEL,381.2700
2020-08-25 14:30:00,PX_GENERATOR_POWER,0.0000
2020-08-25 14:30:00,PX_RECTIFIER_LOAD,2.5780
2020-08-25 14:30:00,PX_GENERATOR_1_FUEL_LEVEL,381.2700
2020-08-25 15:00:00,PX_GENERATOR_POWER,0.0000
2020-08-25 15:00:00,PX_RECTIFIER_LOAD,2.6534
2020-08-25 15:00:00,PX_GENERATOR_1_FUEL_LEVEL,381.2700
2020-08-25 15:30:00,PX_GENERATOR_POWER,0.0000
2020-08-25 15:30:00,PX_RECTIFIER_LOAD,2.7992
2020-08-25 15:30:00,PX_GENERATOR_1_FUEL_LEVEL,381.2700
2020-08-25 16:00:00,PX_GENERATOR_POWER,0.0000
2020-08-25 16:00:00,PX_RECTIFIER_LOAD,2.5844
2020-08-25 16:00:00,PX_GENERATOR_1_FUEL_LEVEL,381.2700
2020-08-25 16:30:00,PX_GENERATOR_POWER,0.0000
2020-08-25 16:30:00,PX_RECTIFIER_LOAD,2.6229
2020-08-25 16:30:00,PX_GENERATOR_1_FUEL_LEVEL,381.2700
2020-08-25 17:00:00,PX_GENERATOR_POWER,0.0000
2020-08-25 17:00:00,PX_RECTIFIER_LOAD,2.5960
2020-08-25 17:00:00,PX_GENERATOR_1_FUEL_LEVEL,381.2700
2020-08-25 17:30:00,PX_GENERATOR_POWER,0.0000
2020-08-25 17:30:00,PX_RECTIFIER_LOAD,2.5891
2020-08-25 17:30:00,PX_GENERATOR_1_FUEL_LEVEL,381.2700
2020-08-25 18:00:00,PX_GENERATOR_POWER,0.0000
2020-08-25 18:00:00,PX_RECTIFIER_LOAD,2.5719
2020-08-25 18:00:00,PX_GENERATOR_1_FUEL_LEVEL,381.2700
2020-08-25 18:30:00,PX_GENERATOR_POWER,0.0000
2020-08-25 18:30:00,PX_RECTIFIER_LOAD,2.4803
2020-08-25 18:30:00,PX_GENERATOR_1_FUEL_LEVEL,381.2700
2020-08-25 19:00:00,PX_GENERATOR_POWER,0.0000
2020-08-25 19:00:00,PX_RECTIFIER_LOAD,2.4596
2020-08-25 19:00:00,PX_GENERATOR_1_FUEL_LEVEL,380.5900
2020-08-25 19:30:00,PX_GENERATOR_POWER,0.0000
2020-08-25 19:30:00,PX_RECTIFIER_LOAD,2.4824
2020-08-25 19:30:00,PX_GENERATOR_1_FUEL_LEVEL,380.5900
2020-08-25 20:00:00,PX_GENERATOR_POWER,0.0514
2020-08-25 20:00:00,PX_RECTIFIER_LOAD,2.4906
2020-08-25 20:00:00,PX_GENERATOR_1_FUEL_LEVEL,379.2200
2020-08-25 20:30:00,PX_GENERATOR_POWER,10.3811
2020-08-25 20:30:00,PX_RECTIFIER_LOAD,2.4102
2020-08-25 20:30:00,PX_GENERATOR_1_FUEL_LEVEL,377.1700
2020-08-25 21:00:00,PX_GENERATOR_POWER,7.7610
2020-08-25 21:00:00,PX_RECTIFIER_LOAD,2.4254
2020-08-25 21:00:00,PX_GENERATOR_1_FUEL_LEVEL,375.8000
2020-08-25 21:30:00,PX_GENERATOR_POWER,0.0000
2020-08-25 21:30:00,PX_RECTIFIER_LOAD,2.4282
2020-08-25 21:30:00,PX_GENERATOR_1_FUEL_LEVEL,375.8000
2020-08-25 22:00:00,PX_GENERATOR_POWER,0.0000
2020-08-25 22:00:00,PX_RECTIFIER_LOAD,2.3945
2020-08-25 22:00:00,PX_GENERATOR_1_FUEL_LEVEL,375.8000
2020-08-25 22:30:00,PX_GENERATOR_POWER,0.0000
2020-08-25 22:30:00,PX_RECTIFIER_LOAD,2.4040
2020-08-25 22:30:00,PX_GENERATOR_1_FUEL_LEVEL,375.8000
2020-08-25 23:00:00,PX_GENERATOR_POWER,0.0000
2020-08-25 23:00:00,PX_RECTIFIER_LOAD,2.4191
2020-08-25 23:00:00,PX_GENERATOR_1_FUEL_LEVEL,375.8000
2020-08-25 23:30:00,PX_GENERATOR_POWER,0.0000
2020-08-25 23:30:00,PX_RECTIFIER_LOAD,2.4125
2020-08-25 23:30:00,PX_GENERATOR_1_FUEL_LEVEL,375.8000
2020-08-26 00:00:00,PX_GENERATOR_POWER,6.2858
2020-08-26 00:00:00,PX_RECTIFIER_LOAD,2.3491
2020-08-26 00:00:00,PX_GENERATOR_1_FUEL_LEVEL,373.0600
2020-08-26 00:30:00,PX_GENERATOR_POWER,10.5561
2020-08-26 00:30:00,PX_RECTIFIER_LOAD,2.3175
2020-08-26 00:30:00,PX_GENERATOR_1_FUEL_LEVEL,370.3200
2020-08-26 01:00:00,PX_GENERATOR_POWER,0.3900
2020-08-26 01:00:00,PX_RECTIFIER_LOAD,2.3620
2020-08-26 01:00:00,PX_GENERATOR_1_FUEL_LEVEL,369.6400
2020-08-26 01:30:00,PX_GENERATOR_POWER,0.0000
2020-08-26 01:30:00,PX_RECTIFIER_LOAD,2.3673
2020-08-26 01:30:00,PX_GENERATOR_1_FUEL_LEVEL,369.6400
2020-08-26 02:00:00,PX_GENERATOR_POWER,0.0000
2020-08-26 02:00:00,PX_RECTIFIER_LOAD,2.3691
2020-08-26 02:00:00,PX_GENERATOR_1_FUEL_LEVEL,369.6400
2020-08-26 02:30:00,PX_GENERATOR_POWER,0.0000
2020-08-26 02:30:00,PX_RECTIFIER_LOAD,2.3894
2020-08-26 02:30:00,PX_GENERATOR_1_FUEL_LEVEL,369.6400
2020-08-26 03:00:00,PX_GENERATOR_POWER,0.0000
2020-08-26 03:00:00,PX_RECTIFIER_LOAD,2.3976
2020-08-26 03:00:00,PX_GENERATOR_1_FUEL_LEVEL,367.5900
2020-08-26 03:30:00,PX_GENERATOR_POWER,1.2451
2020-08-26 03:30:00,PX_RECTIFIER_LOAD,2.3860
2020-08-26 03:30:00,PX_GENERATOR_1_FUEL_LEVEL,365.5300
2020-08-26 04:00:00,PX_GENERATOR_POWER,10.3268
2020-08-26 04:00:00,PX_RECTIFIER_LOAD,2.2876
2020-08-26 04:00:00,PX_GENERATOR_1_FUEL_LEVEL,364.8500
2020-08-26 04:30:00,PX_GENERATOR_POWER,4.0401
2020-08-26 04:30:00,PX_RECTIFIER_LOAD,2.3201
2020-08-26 04:30:00,PX_GENERATOR_1_FUEL_LEVEL,364.1600
2020-08-26 05:00:00,PX_GENERATOR_POWER,0.0000
2020-08-26 05:00:00,PX_RECTIFIER_LOAD,2.3654
2020-08-26 05:00:00,PX_GENERATOR_1_FUEL_LEVEL,364.1600
2020-08-26 05:30:00,PX_GENERATOR_POWER,0.0000
2020-08-26 05:30:00,PX_RECTIFIER_LOAD,2.3644
2020-08-26 05:30:00,PX_GENERATOR_1_FUEL_LEVEL,364.1600
2020-08-26 06:00:00,PX_GENERATOR_POWER,0.0000
2020-08-26 06:00:00,PX_RECTIFIER_LOAD,2.4084
2020-08-26 06:00:00,PX_GENERATOR_1_FUEL_LEVEL,362.1100
2020-08-26 06:30:00,PX_GENERATOR_POWER,0.0000
2020-08-26 06:30:00,PX_RECTIFIER_LOAD,2.4131
2020-08-26 06:30:00,PX_GENERATOR_1_FUEL_LEVEL,362.1100
2020-08-26 07:00:00,PX_GENERATOR_POWER,0.0000
2020-08-26 07:00:00,PX_RECTIFIER_LOAD,2.4090
